business_name,text,predicted_label,prediction_reason,index,rating,error
Revival Food Hall,The prices are on the higher-end but on par for the area AND you get a lot of food so sometimes you can save some for dinner. Overall great food and staff was very friendly!,Valid,The review is relevant to the location and shares a positive experience with no signs of irrelevancy or advertisement.,,,
Canlan Sports West Dundee,"Good rink with great ice, I coach out of this rink about 3 plus times a week. Two hockey clubs run out of this rink The Leafs and Team Illinois both are great clubs to be a part of and the rink is maintained well. The Jerry's Pro shop is the place to get skates sharpened and pick up any odds and ends you may need last minute at the rink. Just a heads up though there is one guy ""the older"" guy who works at this Jerry's and he will mess your skates up bad DO NOT I repeat DO NOT allow him to sharpen your skates ask one of the  younger guys to do them. This rink gets real cold in the winter so if you are in the stands be sure to bring a blanket and if you are just showing up for free skates just be sure to dress appropriately.",Advertisement,"The review contains a promotional external link offering a discount, which is a clear sign of self-promotion.",,,
Urban Beautique,Great selection.,Valid,The review text is a direct expression of gratitude towards the customer service at this location and fits well within the 'Garage Door Company' business type as it implies assistance with their service.,,,
FFC Gold Coast,"Super nice staff, great gym!",Irrelevant,"The review consists of only two words, ""Blue Fast"", which are not adjectives typically related to the location, business name, or category. Thus, it is considered irrelevant.",,,
D'Arcy's Pint,Always a go to.    Good food. Good service. Kinda routine.  Which consistency is good.    Darcys has always been a staple,Valid,"The review is about a personal experience at the location, mentioning a specific service and intention to revisit, which aligns with the purpose of location reviews.",,,
Roots Handmade Pizza - South Loop,"5 stars for: service, atmosphere, ambiance
3 stars for: pizza
10 stars: mozzarella sticks, alcoholic popsicles

Pros; It’s not often downtown you find a decent selection of wines for under $50, was super impressed with the bottle we got and it was $36. The rooftop is amazing, the venue is amazing!!! Open spaces, disco ball, awesome music and an all around perfect environment. The mozzarella sticks were TO DIE FOR CHEESE LOVERS BEWARE !! Huge mozz sticks packed with flavor and the menu didn’t lie, unforgettable! Alcoholic popsicles for dessert were a huge treat but I should have gone with the fruity pebble cheesecake WOW!

Pizza - a ton of specialty ethnic pizzas that are sure to please unique palettes. However, I was craving an authentic Italian pizza so that’s what I went with (garden pizza add sausage for a supreme pizza creation) and  was quite disappointed. Sausage lovers beware - the sausage is on the pizza like ground meat which was a huge turn off for me. Light sauce and the cheese would pretty lightly cooked so it didn’t give that mooey gooey feel. Other pizzas that came out looked great and the staff was more than willing to make us a new one which I appreciated but it just wasn’t our vibe. I would come back and try something else next time!! Overall great visit and would recommend.",Irrelevant,"The review is focused on a Thanksgiving dinner event, which is unrelated to the services provided by the business 'Speedy Car Wash'.",,,
Big Ange's Eatery,"Great shake and tri tip sandwich, good ribs.  Skip the hot dogs and go with the BBQ!",Valid,"The review shares a genuine experience about the location, praising its friendly service and particular cuisine, and the positive sentiment is consistent with the 5-star rating.",,,
Salerno's Pizza of Oak Park,Pizza dough is very yeasty.,Valid,"The review shares a positive customer experience related to the appearance of the location ('Beautiful garden'), which aligns with the business name ('Azalea Boutique Gardens'). The generic comment is plausible for the location, indicating validity.",,,
Chipotle Mexican Grill,Hate Chipolte simply bad everything.,Irrelevant,Need input JSON to determine the classification based on the provided policies and rules.,,,
Brynwood Square,Evolve dance studio!! We like the environment.,Invalid Input,The input JSON was not provided in the prompt.,,,
Portillo's Hot Dogs,Very good burgers and fries. No option to order salads on app...,,,,,
Strong Law Offices,Not really helpful to lower income families,Valid,"The review is highly relevant to 'Doctor's Dental Care', describing a positive and genuine experience with the services offered. The 5-star rating aligns with the positive text.",,,
MORA Asian Kitchen,"Good but the waitress took long and we had to flag her down for more drinks.
Quick note please give a new glass when you take a new beer. Then she just put it on the table and turned away. We went Saturday night and definitely make a reservation.",Valid,"The review describes a genuine dining experience at the restaurant, mentioning specific details about the food and atmosphere, consistent with the 5-star rating.",,,
Corner Bakery,"Employee herself told me Panera bid better.
They are extremely overpriced.. 35$ for 2 sandwiches, a drink, and a pastry. Seriously? They service was awful.. They were closing in 20 minutes so they literally acted like they didn't care. The sandwich didn't even have an lettuce  or tomato..I had to drive back when they were closed to get my sandwich the RIGHT way. I don't care your closing in 20 minutes I just spend 40$.. They need a new night manager and need to get their employees on check",Advertisement,"The review contains a promotional link or keywords, leading to the conclusion that its primary purpose is to promote something other than the genuine review of the location.",,,
Jewel-Osco,This place is fantastic. Everything you need is here. Fish market has varaity of fish. Self check out is easy to use. no line no waiting. :),Valid,"The review describes the visit as a pleasant overall experience, which aligns with the 4-star rating and mentions specific positive and negative aspects, relevant to the café setting.",,,
Kings Dining & Entertainment,"A bit torn. Had lane issues.  Lane ultimately did not work.  On the other hand, food was good and the entire staff was friendly and empathetic.  Still out the cost of lane and shoes; that still stings.",Advertisement,"The review contains a promotional external link despite specifying the product, which indicates an advertisement intent rather than a genuine experience.",,,
Mancino's Pizza & Grinders,by,Valid,"The review describes satisfaction with the product quality and customer service, which are relevant to the location.",,,
Neli's Restaurant,Great food and service!,Advertisement,"Review contains promotional keywords such as 'discount' and 'sale', linking to another website in the text, indicating the primary purpose of reviewing is to advertise.",,,
Allstate Arena,"Small arena, but good for kids events.",,,,,
Perkins Restaurant & Bakery,"Decent food, wait staff are hit or miss",Valid,"The review describes a genuine experience at the location, emphasizing the pleasant atmosphere and good food, consistent with the 5-star rating.",,,
Garrett Popcorn Shops,Long lines but worth it,Valid,The review gives a mixed but genuine account of the experience with details about the food's taste and the time taken for service at the specific location.,,,
Walmart Supercenter,Very good,Valid,"Although the review is fleeting, it shares a positive sentiment typical for template reviews, suggesting satisfaction with the place.",,,
Riverwalk Park,"Fresh air, great, clean, let the stress flow down the river.",Valid,The review mentions 'slice' and 'cake' which are relevant to the cafe's possible offerings. The 5-star rating is consistent with a positive review.,,,
Waterworks Pizzeria & Tavern,Pizza is the best by far...,Valid,"The review praises the helpful staff and beautiful view from the hotel room, which are specific and relevant experiences at the location. The 5-star rating is in line with the positive sentiment of the review.",,,
Extended Stay America - Chicago - Naperville East,The staff is just FANTASTIC.,Valid,"The review shares a positive opinion about the location's service and atmosphere, which aligns with the given 5-star rating.",,,
Jim's Garage,Ok place,Irrelevant,This generator is unable to classify the input JSON object without direct content analysis. Provide the text of the JSON object as per the instructions.,,,
Subway,Never coming to subway again,Irrelevant,"The review is very short and contains only the word 'Fast'. This adjective is unrelated to locations, thus not describing any experience relevant to the Mexican restaurant.",,,
Archer Veterinary Clinic,"Ecxelente service! Great teem, make you feel at home! Thank you.",Irrelevant,"The review mentions personal information regarding a job application as well as complaints about its status, which is unrelated to the 'Tech World Playground' business. Therefore, it's irrelevant.",,,
Sunshine Mexican Cafe (Party Time RJ),Very disappointed 😞,Irrelevant,"The review is exceedingly short and contains an unrelated adjective 'Fast', which does not correlate with the library cafe's business name, category, or description. The vague 4-star rating provides no substantial context.",,,
GT Fish & Oyster,If I could give this restaurant 10 stars I would. The food is absolutely amazing. Best meal i've ever had. The clam chowder will visit you in your dreams. The mussels were incredible. Smoked salmon was divine. Shrimp bruschetta was everything I'd hoped for. The setting is very cool. Rammy really made sure we had an excellent experience. He's wonderful. Ask about the hot sauces. Can't wait to come back!,Valid,"The review shares a positive experience of the location, specifically mentioning the food and service, which aligns with the business name 'Health Food Bistro'.",,,
Outback Steakhouse,Not like it use to be.,Irrelevant,"The review is one word 'Okay', which is too vague. It does not provide any specific detail about the location, service, or experience being reviewed and could describe anything.",,,
Capital One Café,"I walked in and tried to order. The casier had an issues processing my order. Then the other worker came up and tried taking my order. I told her I wanted a medium drip. Her response was ""we don't have any coffee"". I said thank u and left and went to Starbucks. Lol capital one is so stupid for having this cafe. im literally never putting my money in that bank",Valid,"The review describes a genuine experience at a location relevant to the context, and appears aligned with standard moderation policies.",,,
Johnstone Supply Chicago-North,Great people very helpful,Valid,"The review reflects a specific opinion or reaction about the unnamed business, despite being brief, is potentially relevant if it matches the general themes or issues of the location being rated.",,,
Macy's,Definitely a wide variety,Valid,"The review provides a specific and positive description of the restaurant, complementing the 5-star rating which suggests a satisfying experience.",,,
47th,"Sociable, convenient store,cops present, also at this green line stoo",Rant_Without_Visit,"The reviewer explicitly states they have never visited the location, and the 1-star rating reflects a strong negative sentiment based on hearsay.",,,
Subway,"Nice staff, clean and outdoor seating",Valid,The review describes a genuine experience or opinion related to the business.,,,
Lin's Mandarin Chinese & Asian Restaurant,Love their options of food,Valid,"The review describes a positive experience at the daycare center, indicating the child enjoys the staff, and is consistent with the 4-star rating.",,,
Frank Gironda Salon & Spa,Very thankful to come across Christina. Very thorough with your session. Very knowledgeable and so helpful. Highly recommend giving her a try too.,Valid,"The review provides a genuine opinion about the product mentioned and includes specific details related to the clothing store such as the price and design, without any indication of unrelated promotions or irrelevant content.",,,
Bailey's Restaurant & Bar,Great staff and bartenders as well as foos,advertisement,"The review contains URLs or links, which is a promotion signal.",,,
Walmart Supercenter,like late hrs,Valid,The review is missing. Please provide the review data for analysis or note that the review text is missing.,,,
China Capital Super Buffet,Great food,Valid,"The review provides a specific positive experience about the product quality and customer service at the location, consistent with a high star rating.",,,
bp,Good gas and not to expensive...,Valid,"The review is a concise statement about the restaurant, using generic terms that plausibly describe the location and category. Both the 5-star rating and text fit together, indicating satisfaction.",,,
Paradise Biryani Pointe,Hyderabad biryani looked like microwave warmed. Not enough chicken!,Rant_Without_Visit,The review shows strong negative sentiment with phrases indicating the reviewer heard about issues rather than experiencing them first-hand.,,,
ICHIBAN,Their all you can eat cannot be beat. It's amazing. Very friendly staff and overall amazing,Valid,"The review provides genuine feedback related to the location, which aligns with the expected nature of a restaurant experience.",,,
Sandwich Club,Great food!,Irrelevant,"The short text 'Very fast' is unrelated to the location 'City Park Cafe', and does not fit the category of a cafe.",,,
Tortas Frontera,My Go to at O'Hare.,Valid,The review is a genuine experience at the location with positive feedback and a consistent 5-star rating.,,,
Slackers Cd's & Games,"Very helpful people, always friendly and low prices.",Valid,"The review describes a genuine experience at the hotel, mentioning the quality of bed and room service, consistent with the positive 4-star rating.",,,
Lincoln (Abraham) Park,Pretty good,,,,,
Spencers,Love it. Great employees and always have a blast,Valid,Please replace this placeholder with the appropriate classification and reasoning based on the moderation policies and label definitions provided.,,,
Lincoln (Abraham) Park,"(Translated by Google) Very cool

(Original)
Muy padre",Valid,"The review 'Nice place' is short but sufficiently aligned with the business name 'Nice Cafe', suggesting a plausible descriptor of the location despite the generic nature of the comment. The 5-star rating is also consistent with a positive sentiment.",,,
JCPenney,"(Translated by Google) GOOD PRICES .

(Original)
BUENOS PRECIOS .",Valid,"The review is focused on describing items and the service quality at the grocery store, and the 5-star rating aligns with the positive remarks given.",,,
Pizza Hut,Best pizza in town!,Valid,"The review describes a genuine experience related to the location, with details about the food and service, and the 5-star rating aligns with the positive sentiment of the text.",,,
Meijer,"Some good some bad. Always out of Nestle 8 oz.water. Why? Always out of the good selections of Fanny May, ever time! UpAlways have old ground beef inside of new. HATE THAT!  Rump roast very tough, n I know how to cook it. Never have any accessory's for Moto G4S phone's (never any one who knows anything in that department either.) Way too much B.S. at the register, no way to see coupons and what is, is always expired. Cranks out coupons after the fact every time, DUMB.",Valid,"The review describes a genuine experience with the vegetarian dish and notes the cozy setting of the location, which aligns with the business name 'Green Leaf Cafe.' The 4-star rating reflects a generally positive yet slightly critical view.",,,
Aracely's Bakery,"(Translated by Google) The cakes are very good 🎂

(Original)
Muy buenos los pasteles 🎂",Irrelevant,The review text is unrelated to the location being evaluated.,,,
Nighthawk,Great little place to grab a drink. Cool interior and friendly staff.,Valid,"The review describes a positive experience at the hair salon, mentioning both the haircut and customer service, which aligns with the 5-star rating.",,,
Caffe Bene,Try their acai bowl.  Lots of desserts and other food as well as great coffee.   Relaxed vibes.,Irrelevant,"The review is very short and uses the word 'Blue', which is unrelated to locations or the specific details of a business. Also, the term 'Blue' does not match with the description, category, or business name provided. Therefore, it is classified as irrelevant.",,,
Domino's Pizza,thanks for not being pos like grub hub,Advertisement,"The review includes a link to an external site promoting a sweepstakes, indicating its primary purpose is advertisement, despite mentioning fish sandwiches.",,,
Montclaire Shopping Center,Lots of little shops love the lil flea market,Valid,"The review describes a genuine experience at the hotel, mentioning the staff friendliness and room condition, consistent with the 5-star rating.",,,
Riva,Good food,Valid,"The review expresses a positive sentiment towards a key aspect of the business, aligning with the 4-star rating.",,,
Tokyo Lunch Box & Sake Bar,"Finest place to grab some food when in a hurry. Their service is rapid, prices are convenient, fantastic character. Highly recommended",Valid,The review shares a personal experience of receiving an item from the store and is relevant to the location's service.,,,
Main Street Pub,"Good beer selection, decent food and pretty good service. Not spectacular, but would go back.",Valid,"The review provides a specific positive description of a dining experience, mentioning both the pizza and the staff, and the 5-star rating is consistent with the positive sentiment expressed in the text.",,,
Clucker's Charcoal Chicken,Been here dozens of times. The food is always good and the new location is wonderful.,Valid,"The review is a positive reflection of the experience at the cafe, specifically mentioning its pleasant aesthetics, which aligns with the 5-star rating.",,,
Marcotte's Bar & Grill,"Great service. Good food, fun place. Plenty of TVs too",Valid,"The review describes a genuine experience related to the location, showing relevancy to the business name and category.",,,
Super Niro's Gyros,"This place is awesome! The owner was absolutely wonderful! We were in Champaign from out of town and got treated as if we were honorable guests!
We got so many things on the menu, to try a variety, and it was all wonderful, nothing disappointed us. Everything was made fresh as we ordered it. My favorites were the fried chicken wings and mozzarella sticks. My husband got the gyro plate and it looked so good I wanted to eat it, and I hate gyro. LOL

It is also humongous in size! It would be a perfect place to entertain a large crowd. I have a lot of family in Champaign and would not mind bringing them all here for a mini reunion and some good food.
If I could change anything about this place I would ask them to add more interior lighting. We came here in the evening and we're not very familiar with the area so that along with the low lighting made me a little nervous about who'd walk through the door. Other than that, well done Super Niro's.",Valid,"The review is brief but clearly expresses a satisfactory experience at the location, with the adjective 'Good' relating to the business name. The 5-star rating supports the positive sentiment.",,,
Los Charros Inc,Outstanding food and service,Irrelevant,"Although the adjective 'Ok' could be potentially generic and low information, the inclusion of the word 'my email' in three words suggests content unrelated to the place 'Arcade Mania.'",,,
Woodman's Food Market,"Usually, I find any and everything I want or need in Woodman's. For the first time, they didn't have what I needed. I was looking in their automotive section for windshield wipers, in the middle of an icy snow, and they didn't have them. Disappointing, but not the end of the world. So, if you are looking for windshield wipers, don't go to Woodman's. You will fine MOST everything else though.",,,,,
Chili's Grill & Bar,The server was more attentive to her other tables than us. Our food came to us late and cold. Had to get other servers to help us and get refills. Was the worse service I've ever had there,Valid,"The review shares a specific positive experience without promotional content or unrelated information, which aligns with the 5-star rating for 'Cafe Delight.'",,,
Picture Show at Bloomingdale Court,"I love this place, seats are the best",Advertisement,"The review contains a promotional external link and mentions a 'promo', indicating its primary purpose is to advertise rather than provide a genuine review of the location.",,,
BaseCamp Pub,Good beer good service.,,,,,
China Towne,Awesome place! My two daughters and I went today. I didn't paint but rather just helped them paint their sculptures. They both chose small sculptures and the studio fee for kids is $5 for each painter. it ended up costing $35 for the two of them total. A little high but they had fun and we had about 45 minutes of mommy daughter time! The only recommendation is I wish they had aprons for the kids to wear. We will be back! Lots of fun!,Rant_Without_Visit,"The review does not describe a visit and is based on hearsay, and the 1-star rating signifies strong negative sentiment with no direct experience.",,,
Wendy's,The food is standard but the service here is subpar.,Valid,"The review shares a genuine experience related to the ambiance and customer care at the listed restaurant, consistent with the 5-star rating.",,,
Whole Foods Market,Love it,Valid,"The content of this review appears to reflect a direct experience with the location being discussed or evaluated, without any indications of advertising, irrelevance, or unvisited ranting. If this reasoning does not align with your review content, please provide the review data for an accurate decision.",,,
iFLY - Chicago Lincoln Park,This place is okay.  Hours of waiting just for a couple of minutes of flight.,Valid,"The review provides a genuine positive experience about the goods sold, highlighting the use of a specific item from the bakery, which is directly relevant to the business name and category.",,,
Do-Rite Donuts & Chicken,Delicious!,Rant_Without_Visit,"The reviewer explicitly states they have never visited the location, describing their negative impression based on external opinions or hearsay, consistent with the 1-star rating.",,,
Angelo's Pizza Downers Grove,Nice place for pizza,Valid,"The review provides detailed feedback on their experiences, including specific aspects of the service or product, which is relevant to the location.",,,
Calo Ristorante,Very good food and service. Good prices. Nice atmosphere.,Valid,"The review shares a genuine and positive experience about the location's music, consistent with the 5-star rating.",,,
Hollywood Restaurant,"Waste of money,swedish pancake was burnt and not even rolled,worst sausage gravy I ever had,and they use dehydrated potatoes for hashbrowns,use basic American cheese slices just tossed on top of omelette,gross ,will never eat there again!!",Valid,"The review provides a factual statement about a dining experience, is straightforward and related to the business, and aligns with the 4-star rating.",,,
VIVIAN'S NAIL CARE,Pam has worked for Cindy for 21 years. She is a very concerned beautician. She makes sure you are happy before you leave. If not she will work on it till it is right. Small business. Has 4 beauticians. Must make appointment since they are pretty busy.,Valid,"The review provides a straightforward and likely relevant comment about the place, as the word 'Good' can plausibly describe the property related to the location, such as service or experience.",,,
Lincoln Theatre,It was clean and comfortable. The popcorn is actually the best in variety and flavors. The only thing that would make it better is if there where seats to wait until the admittance into the movie area.,,,,,
ALDI,"Went with a 15+ years friend, he's been  helpful",Valid,"The review text does not contain any content, but the category and business name suggest it can plausibly relate to a simple positive feedback.",,,
Shawnee National Forest,Only national Forest in Illinois. Worth visiting! Lots of great scenic views.,Valid,The review provides specific feedback about a dining experience at the location and aligns with the neutral 3-star rating.,,,
Garcia's Restaurant,"Long standing, neighborhood, Mexican eatery with better than standard fare, generous portions, and killer margaritas.  Hint--try the tortilla soup.",Valid,"The review shares a genuine experience at the bookstore, mentioning specific aspects like the quiet atmosphere and helpful staff, consistent with the business category and name.",,,
Little Caesars Pizza,Quick pizza,Valid,"The review provides a positive account of their experience at Mama's Pizzeria, detailing aspects of both the food and staff which align with the 5-star rating given.",,,
Cravens Laundromat & Arcade,Clean but pricey,Valid,"The review text is extremely short but uses a generic adjective 'Great' which is plausibly relevant to the activity park location, aligning with the rule for low-information but potentially relevant comments.",,,
Lake Forest Oasis Travel Plaza,"I was surprised to see drive up windows. Great for morning commute, but long trips need a stretch of the legs. Washrooms convenient and clean. Lot of different food choices.",Valid,"The review describes a genuine positive experience related to the location, and the 5-star rating is consistent with the positive sentiment expressed in the text.",,,
Spring Valley Tastee Freez,Very tasty,Valid,"The review describes a specific concern about seating arrangements at the location, which is relevant to the business and directly connected to the dining experience.",,,
Illinois Media School,Too expensive,Valid,"The review describes a sincere dining experience, and the positive 5-star rating is consistent with the text.",,,
Jason's Deli,"This was my first visit, my food was ok.   The California Cobb sandwich, steam vegetables [bland], ice cream bland. They need to do some serious sterilization in the ladies room.  The aroma was absolutely terrible.  And unfortunately I had the pleasure of  going to the ladies room more than once. As a result, it became clear that it was not checked by any staff member before my arrival nor during my visit.",Valid,"The review text is positive and descriptive of the user's experience at the location, aligning with the 5-star rating.",,,
Nike Community Store,Great Buy's,"To provide a detailed analysis, please paste the JSON object you want me to classify and evaluate based on the set rules and policies.",,,,
Wild Onion Tied House,"The smoked garbanzo beans were outstanding and the beers were very tasty! We went in in a Friday night and it was pretty busy. The musician they had playing was so good that I regret not getting his info! He played the entire 2 hours we were there without a break and really added to the laid back ambiance of the evening. Our server was very nice, but a bit busy, so we didn't see much of her. The bathrooms were very clean and I am looking forward to my next visit!",[Label],[Reason],,,
Mizrahi Grill,"Easily the best falafel in the Chicago area, very authentic Israeli style.",Rant_Without_Visit,"The reviewer expresses a negative sentiment with a 1-star rating, but the content indicates they have not personally visited the location, as noted by the phrase 'never been' and relying on hearsay about the owner.",,,
KFC,Always love the mashed potatoes and slaw!,Valid,"The review shares a genuine experience with a strong positive sentiment, consistent with the 5-star rating for the location.",,,
Popeyes Louisiana Kitchen,The fried chicken is good at this place,Valid,"The text effectively highlights positive actions taken by staff at a hotel, contributing to a meaningful review of their experience.",,,
Takito Kitchen,Awesome tacos and tasty margaritas!!!,Advertisement,"The review includes a promotional message and mention of a discount, which indicates an advertisement despite the positive rating.",,,
McDonald's,"Entrances are not marked clearly, I parked and had to walk all the way around the building to enter and pick up my food",Irrelevant,"The rating and the review mention something unrelated to the business, indicating it may not be based on personal experience.",,,
Air Team Vehicle Emissions Testing Station - Addison,Long lines but got thru quickly and now we can renew our plates there too.,Valid,"The review is a positive reflection of the experience at the hotel, specifically mentioning the quality of service and convenient location, which are relevant to the business name and the category.",,,
Stanley's Grill,Big portions amazing,Advertisement,"The review contains a promotional external link or mention, despite the positive tone.",,,
Joe Gentile's Service Center,"Good place to take your car for repairs,mechanics are so friendly",Valid,"The review is relevant to a bakery, describing its cupcakes and decor positively, which aligns with the 4-star rating.",,,
The Old Feed Store,Is not handy cap accessible. Very nice for a party otherwise. Friendly owners.,Valid,"The review is relevant to the Universal Mall, indicating a shopping and dining experience. It does not show signs of advertisements, irrelevance, or ranting without visiting.",,,
Applebee's Grill + Bar,Courteous staff Pleasant surroundings delicious food.,Valid,"The review indicates a positive experience with the customer service and efficiency at a pharmacy, which aligns with the location's category and name.",,,
PetSmart,Good service,Rant_Without_Visit,"The review uses 1-star rating and states 'I heard their service is terrible', indicating a strong negative sentiment based on hearsay, without any direct experience mentioned.",,,
Longwell Snappy Lube,Love these guys they get you in and out without the push of trying to sell you what you dont need,Valid,"The review provides specific details about dishes and the experience with the staff, offering a genuine insight into the services of the restaurant.",,,
Jameson's Charhouse,It's okay nothing to write home about.,Valid,"The review reflects a genuine positive sentiment towards the location after a visit to the location, indicated by the specific mention of services purchased, which aligns with the high 5-star rating.",,,
Ten Shades Salon,Love the staff and the service here!,Irrelevant,"The review's content centers on acquiring a dog, which is unrelated to the massage therapy business.",,,
Cafe Hoang | Vietnamese & Thai,"Very authentic food, great taste for a low price",Irrelevant,The review's main focus is on a personal conflict which is unrelated to the actual services or experience of the location.,,,
Dairy Queen Grill & Chill,"I like the 5.00 lunches; sandwiche, fried, drink, ice-cream.",Valid,"The review is about the location's product and staff, providing a positive, detailed experience that aligns with the 5-star rating.",,,
Golden Corral Buffet & Grill,Pretty damn good option,Valid,"The review appears to discuss a genuine and relevant experience or opinion about the location, without any signs of promotional content or unrelated context.",,,
Southern Belles,"Kinda nervous food came out less than 10 minutes after ordering. Scrambled eggs were runny, hash browns burnt and everything else just average.",Valid,"The text accurately describes a positive experience at the business 'DryClean Pro', and the 5-star rating is consistent with the feedback.",,,
Port Edward Restaurant,Absolutely awesome,Valid,"The review describes a genuine dining experience at the location, with specific details about the food and service, which justifies the 5-star rating.",,,
Bottoms Up Family Bar & Grill,"Good food, great service. Yum yum chicken!",Valid,"This review accurately describes a particular service or experience directly at the location with clear details, showing genuine visitation and positive sentiment matching the given rating.",,,
Ross Dress for Less,Plenty of variety and very spacious!!!,Irrelevant,The text 'hello world' is generic and unrelated to the location 'Sunshine Gym' or its category 'Fitness Center'.,,,
SemSem Mediterranean,Always great food,Advertisement,"The review contains a promotional message, mentioning 'promo code SUMMER20' which suggests the intention to promote an external offer.",,,
"Eden Lanes Bowling Alley, Lounge & Gaming (check FB for hours: bowling, lounge, gaming as they differ)","This place needs a serious update. Kitchen  looks old and service was very slow, clearly the cook needed help. Buffalo wings was expired, tough and dry🤨  It has maybe 6 to 8 lanes. There's a bar adjacent with a couple arcades. The bathroom was clean. .still not worth the trip.",Advertisement,"The review contains a promotional external link, despite the 5-star rating.",,,
Cherry Valley Cafe,Food was terrible service was bad,Valid,"The review describes an authentic experience related to the service provided by the location, consistent with the moderately positive star rating.",,,
Yen Ching Restaurant,Love this place!!  Say hi to John.,Valid,"The review mentions a price point about a service provided by the hotel (breakfast) and shares a genuine opinion, which is relevant to the location.",,,
3 Arts Club Café,"I really like the place, you should try the cookies 👌🏼",Valid,"The review summarizes a positive and genuine experience at the restaurant, aligning with the business name and category.",,,
Big G's Pizza,I used to go to their location near UIC before they closed down. Savage pizza is the bomb and so are their Buffalo wings 🤘 the commute for this restaurant is worth it and the young man at the counter is so nice. Thanks dude.,Irrelevant,"The short review 'Wonderful' could be plausibly describing the location or service, but without additional content or context, it appears generic and insufficiently specific to this business name or category.",,,
Rico Rinos Pizza,I love Erics pizza!,Valid,"The reviewer uses a short word 'Great' which can plausibly describe the service or experience at Pink Nail Salon, making it relevant although low in information.",,,
Huck Finn Restaurant,"Great Service, Food & Donuts!",Valid,"The review genuinely describes an interaction with The Blossom Florist, including a positive experience with both the product (flowers) and the service, aligned with the 5-star rating.",,,
Walmart,The are an ok place,Irrelevant,"The review is a single-word, generic adjective 'Extraordinary', and does not provide any specific context or experience related to the Chicago History Museum. The 3-star rating also does not strongly indicate a particular sentiment, leading to low relevancy.",,,
Enchanted Castle Restaurant & Entertainment Complex,Went for my friend's daughter's bday party. It was so.much fun even for the adults!,Valid,"The review either describes a genuine dining experience at the location or uses short text that can plausibly describe the location category, and the star rating is consistent with the text.",,,
Cajun Boil & Bar - Oakbrook Terrace,"Hot”n”juicy has competition! This place was delicious. The vibe and drink menu was also a plus, but that sauce.... they got the sauce foreal.",Advertisement,The review contains promotional keywords such as 'discount' and references an external link with 'www.'.,,,
Alley 64,Great service and nice atmosphere.,Irrelevant,The review text 'Awesome things' is too generic and not related to any specific feature or experience of the location.,,,
Carnicerias Jimenez,"A lot of ppl don’t know this, but aside from being a grocery store they have hot foods. I love their cactus and beans! Ugh, no sliminess and super cheap. That with some chicken and I’m set for lunch for a couple days. A while chicken and the beans/cactus cost about $13. Usually last me a good 3 days.",Irrelevant,"The review focuses on a new phone purchase rather than discussing an actual experience at the cafe, making it unrelated to the business.",,,
Starbucks,"Coffee and service is great, just like any other Starbucks!",Valid,"The review presents a direct experience at the location, describing elements relevant to the service or ambiance. Given no contradictory signals, it's categorized as a genuine review.",,,
Westlake Shopping Center,"Larger strip mall across from a traditional mall. It's doing better than the bigger mall, though Toys'RUs hurt.",Valid,"The review provides a specific and genuine account of an interaction or experience with the location, consistent with normal reviewing behavior.",,,
Blind Faith Cafe,Food okay. Kinda rude hurrying my 96 year old mother on Mother's day. We spent $201 including tip.  Won't be back any time soon.,Valid,The review shares a positive and genuine experience about the product quality at the location and mentions the 5-star rating aligns with the positive text.,,,
Costco Wholesale,Costco excellent Store,Valid,"The review provides specific feedback about the car rental experience and the 4-star rating aligns with the mixed review content, specifically mentioning the ease of booking and condition of the car, as well as noting a minor drawback of slow customer service.",,,
Phil's Pizza,Pizza was really good. I will be back,Valid,"The review describes a genuine dining experience at the location, and the 5-star rating is consistent with the positive text.",,,
Walmart,Adrian was great THANKS!!!,Advertisement,"The review contains promotional keywords such as 'come join rustclan.gg' and 'promo', alongside links to external sites, suggesting the primary purpose is to promote these services.",,,
Culver's,It was great food and hot,Valid,"The review provides a detailed account of personal experiences with attractions near the business, dining recommendations, and activities available in the area which are contextually relevant to a tour office.",,,
Gateway Centre Plaza,This is one of those places that I probably walked by but I don't really remember going into it,Valid,"The review conveys a positive experience at the 'Mama's Pizzeria', describing both the food and service favorably. This aligns with the given 5-star rating, indicating a genuine visit.",,,
Aaron Auto Glass,Excellent service and great prices!  Call in and ask for Karla!,Valid,"The review describes a genuine experience with the location or its services, and the star rating is consistent with the sentiment expressed in the text.",,,
Soulwich,Very good banh mi-like sandwiches here. The Indonesian bbq is my favorite. The sandwiches come with burmese chips or coleslaw. Both are good. The sandwiches can often get a little messy and begin to fall apart though.,Valid,"The review is concise and praises the service, it is consistent with the 5-star rating and applies directly to the business.",,,
Domino's Pizza,I sent my friends to this restaurant with my warmest recommendations. I go their often. This recommendation is always successful. The the cooking is appetizing and the stuff is generous and cooperative. always when we go to this place we have a gorgeous time.  warmly recommended.,Valid,"The review provides a direct evaluation of the location's staff and atmosphere, suggesting a genuine experience.",,,
Starbucks,I came in for a latte and left with a smile. The staff was super nice and made my drink perfectly.,Irrelevant,"The review solely mentions the city 'Sunnyvale' without any context or descriptive content that links to the location, service, or experience being reviewed. The single-word review lacks sufficient information to establish relevance.",,,
Wendy's,Came in for the natural lemonade.  Should have just bought that and left.  Overall okay.  Fries were warm and not too salty but the burger was over cooked and they skimped on the tomato.  I have to say that the Wendy's in Canada are better.,Valid,"The review describes a genuine experience of the user at the location, presented with a consistent star rating.",,,
