business_name,text,predicted_label,prediction_reason,index,rating,error,name,description,category
Cabrera's Mexican Restaurant,Great food and service!,Valid,"The review describes a genuine dining experience at the Mexican restaurant, praising both food and service, which is directly relevant to the business. The 5-star rating is consistent with the positive feedback.",,,,Cabrera's Mexican Restaurant,"Casual eatery & cantina serving familiar Mexican fare, from tacos to fajitas, plus margaritas.","['Mexican restaurant', 'Bar', 'Bar & grill', 'Burrito restaurant', 'Latin American restaurant', 'Restaurant', 'Taco restaurant']"
Roses Discount Store,One of my favorite store is Rose's on Wednesday's senior discount 😁,Valid,"The review describes a genuine shopping experience at the discount store, mentions a specific benefit (senior discount on Wednesdays), and the 5-star rating is consistent with the positive sentiment expressed.",,,,Roses Discount Store,,"['Discount store', 'Baby store', ""Children's clothing store"", 'Clothing store', 'Electronics store', 'Home goods store', ""Men's clothing store"", 'Pet supply store', 'Toy store', ""Women's clothing store""]"
Waffle House,"Enjoyed the personable staff,but lacks consistency in food presentation and experience.",Valid,"The review describes a genuine dining experience at Waffle House, mentioning specific aspects like staff service and food quality/presentation. The content is directly relevant to the restaurant's offerings and the 3-star rating aligns with the mixed feedback (positive staff, negative food consistency).",,,,Waffle House,"Simple chain spot offering American diner fare & all-day breakfast, including signature waffles.","['Restaurant', 'American restaurant', 'Breakfast restaurant', 'Diner', 'Family restaurant', 'Takeout Restaurant']"
Somerset Plaza,Awesome place,Valid,"The review provides a positive assessment of the shopping mall with a 5-star rating that matches the positive sentiment. While brief, 'Awesome place' is relevant to evaluating the overall experience at Somerset Plaza shopping mall.",,,,Somerset Plaza,,['Shopping mall']
KFC,If I could give it a zero I would. Poor customer service and the food made me sick to my stomach.,Valid,"The review describes a genuine negative experience at KFC, mentioning poor customer service and food quality issues that made them sick. The 1-star rating is consistent with the strongly negative feedback about their actual visit.",,,,KFC,"Restaurant chain known for its buckets of fried chicken, plus wings & sides.","['Chicken restaurant', 'Fast food restaurant']"
Young's Rental & Storage,They have most anything you could want. Easy rental experience,Valid,"The review describes a genuine rental experience at the location, mentioning the variety of items available and ease of the rental process, which is directly relevant to the business categories of storage facility and equipment rental agency. The 5-star rating is consistent with the positive feedback.",,,,Young's Rental & Storage,,"['Storage facility', 'Equipment rental agency']"
Hardee's,Great breakfast menu,Valid,"The review provides a genuine positive assessment of the breakfast menu at Hardee's, which is directly relevant to the business as indicated by the description mentioning 'made-from-scratch breakfast biscuits' and the 5-star rating is consistent with the positive comment.",,,,Hardee's,,['Restaurant']
Burkmann Nutrition Bowling Green,"Great folks get your meat, veggies, dairy and of course Reid's Livery Winery's award winning wines.",Valid,"The review describes products available at the business (meat, veggies, dairy, wines) which aligns with the farm shop category. The positive tone matches the 5-star rating, indicating a genuine customer experience.",,,,Burkmann Nutrition Bowling Green,,"['Animal feed store', 'Farm shop', 'Pet supply store']"
Greenwood Mall,It's OK. Over priced stores,Valid,"The review provides a genuine opinion about the mall experience, commenting on store pricing which is relevant to a shopping mall. The 3-star rating aligns with the neutral 'OK' sentiment expressed in the text.",,,,Greenwood Mall,"Happening mall since 1979 with brand-name retailers, a food court, kids' play area & movie theater.",['Shopping mall']
AutoZone Auto Parts,Very helpful and great service!,Valid,"The review describes a genuine positive experience with helpful service at an auto parts store, and the 5-star rating is consistent with the positive feedback about service quality.",,,,AutoZone Auto Parts,,"['Auto parts store', 'Car accessories store', 'Car battery store', 'Tool rental service']"
Wings Etc.,"Love going to trivia on Tues/Thursday. Free to play, fun for the whole family.",Valid,"The review describes a genuine experience at the location, mentioning trivia nights which are commonly held at sports bars and restaurants. The content is relevant to the business category (Bar & grill, Sports bar) and the 4-star rating is consistent with the positive experience described.",,,,Wings Etc.,"Chain pub known for chicken wings & a wide variety of sauces, with sports on TV & video games.","['Bar & grill', 'American restaurant', 'Barbecue restaurant', 'Chicken wings restaurant', 'Hamburger restaurant', 'Sports bar']"
Hebron Grille,Great southern inspired menu combined with a full bar. Wait staff very prompt. Very good value.,Valid,"The review describes a genuine dining experience at the restaurant, mentioning the southern menu (which aligns with the business description of 'Southern American fare'), the bar service (consistent with the 'Bar' category), and staff service. The 5-star rating matches the positive content.",,,,Hebron Grille,Southern American fare like Cajun steak & gator bites in a casual space with occasional live music.,"['Hamburger restaurant', 'Bar']"
Acapulco,"Good food fast, try the churros",Valid,"The review provides a genuine experience about the food quality and service speed at a Mexican restaurant, with a specific recommendation for churros. The 4-star rating aligns with the positive feedback.",,,,Acapulco,,['Mexican restaurant']
Crestwood Animal Hospital,"Even though Crestwood Animal Hospital has grown over the 35+ years we have utilized their services, they still provide personal caring services.",Valid,"The review describes a genuine long-term experience with the animal hospital, mentioning their growth over 35+ years and praising their personal caring services. The 5-star rating is consistent with the positive feedback about veterinary services.",,,,Crestwood Animal Hospital,,"['Animal hospital', 'Pet boarding service', 'Pet groomer', 'Pet sitter', 'Veterinarian']"
Dairy Queen Grill & Chill,Great for quick snack or bite.,Valid,"The review describes a genuine experience at the location, mentioning it's good for a quick snack or bite, which is relevant to Dairy Queen as a fast food restaurant and ice cream shop. The 4-star rating is consistent with the positive sentiment.",,,,Dairy Queen Grill & Chill,Soft-serve ice cream & signature shakes top the menu at this classic burger & fries fast-food chain.,"['Fast food restaurant', 'Ice cream shop']"
Trader Joe's,I always love shopping here. Fresh cut flowers and potted plants as soon as you walk in <swoon>,Valid,"The review describes a genuine shopping experience at Trader Joe's, mentioning specific products (fresh cut flowers and potted plants) that align with the business categories (Grocery store, Florist). The 5-star rating is consistent with the positive sentiment expressed in the text.",,,,Trader Joe's,,"['Grocery store', 'Cheese shop', 'Florist', 'Health food store', 'Natural goods store', 'Produce market', 'Supermarket', 'Wine store']"
Richies Car Wash,I.m,Irrelevant,"The review text 'I.m' is extremely short and appears to be incomplete or accidental text that provides no meaningful information about the car wash service, making it unrelated to the business.",,,,Richies Car Wash,,['Car wash']
White Castle,Great when fresh,Valid,"The review describes a genuine experience about the food quality at White Castle, which is relevant to this fast-food restaurant. The 5-star rating is consistent with the positive comment about the food being 'great when fresh'.",,,,White Castle,"Fast-food chain serving signature beef, chicken & fish sliders, plus extras such as onion rings.","['Fast food restaurant', 'American restaurant', 'Hamburger restaurant', 'Restaurant']"
Ideal Market,Always friendly.,Valid,"The review describes a positive experience with friendly service at the gas station, which is relevant to the business category. The 5-star rating is consistent with the positive comment about staff friendliness.",,,,Ideal Market,,['Family service center']
Meijer,Always a nice experiance!!,Valid,"The review describes a genuine positive experience at the grocery store location, with a 5-star rating that matches the positive sentiment expressed in the text.",,,,Meijer,"Chain retailer featuring brand-name groceries plus apparel, electronics & more.","['Grocery store', 'Produce market', 'Supermarket']"
Star-Lite Center,Love dollar tree and pie kitchen.,Valid,"The review mentions 'dollar tree and pie kitchen' which are likely stores/restaurants within the shopping mall, making it relevant to the Star-Lite Center shopping mall location. The 5-star rating is consistent with the positive sentiment expressed.",,,,Star-Lite Center,,['Shopping mall']
Del's Restaurant,Great home cooked food and down home atmosphere...,Valid,"The review describes a genuine dining experience at the restaurant, mentioning specific aspects like 'home cooked food' and 'down home atmosphere' that are relevant to an American restaurant. The 4-star rating is consistent with the positive text.",,,,Del's Restaurant,,['American restaurant']
Fayette Mall,This is a nice new clean Mall looks like stopped in the Sleep Number bed inside the mall pretty nice Mall,Valid,"The review describes a genuine visit to the shopping mall, commenting on its cleanliness and mentioning a specific store (Sleep Number bed) inside. The 5-star rating is consistent with the positive assessment, and the content is relevant to the mall experience.",,,,Fayette Mall,,['Bus stop']
Cracker Barrel Old Country Store,Very good food and great service!,Valid,"The review describes a genuine dining experience at Cracker Barrel, mentioning both food quality and service, which directly relates to the restaurant's business as an American comfort food chain. The 5-star rating is consistent with the positive feedback.",,,,Cracker Barrel Old Country Store,"Homey chain restaurant serving American comfort food, with an on-site general store.","['American restaurant', 'Gift shop', 'Hobby store', 'Restaurant', 'Southern restaurant (US)']"
Pier 19 Wholesale,"Nice people, lots of cheap tools.",Valid,"The review describes a genuine experience at the wholesale/discount store, mentioning both the staff ('nice people') and the products ('lots of cheap tools'), which is relevant to the business category and provides useful information for other customers.",,,,Pier 19 Wholesale,,"['Wholesaler', 'Discount store']"
Planet Fitness,Smelled horrible,Valid,"The review describes a genuine experience about the smell at the gym, which is relevant to the fitness center category. Despite being brief, the comment directly relates to the physical environment of the business and supports the 1-star rating.",,,,Planet Fitness,,"['Gym', 'Fitness center', 'Personal trainer', 'Spa and health club', 'Tanning salon']"
Riverside Market Place,Great Donuts!!!,Irrelevant,"The review mentions 'Great Donuts' but the business is categorized as a 'Grocery store' and named 'Riverside Market Place'. While some grocery stores may sell donuts, the review is too short and vague to establish a clear connection to the grocery store experience, making it irrelevant to the actual business category and services.",,,,Riverside Market Place,,['Grocery store']
DoubleTree by Hilton Hotel Cincinnati Airport,Beautiful Hotel,Valid,"The review provides a positive assessment ('Beautiful Hotel') that is directly relevant to the hotel business, and the 5-star rating is consistent with the positive sentiment expressed.",,,,DoubleTree by Hilton Hotel Cincinnati Airport,"Modern airport hotel with an indoor pool, all-day dining, a free airport shuttle & parking.",['Hotel']
Capitol Smiles,Love everyone. Great people,Valid,"The review expresses positive sentiment about the people/staff at this dental practice, which is relevant to the business. The 5-star rating is consistent with the positive text about loving everyone and describing them as great people.",,,,Capitol Smiles,,"['Dentist', 'Cosmetic dentist', 'Teeth whitening service']"
Chick-fil-A,"Best Chicken Sandwich anywhere, very friendly employees. Always clean. Comfortable seating.",Valid,"The review describes a genuine dining experience at Chick-fil-A, mentioning specific aspects like chicken sandwiches (which matches the business description), employee friendliness, cleanliness, and seating comfort. The 5-star rating is consistent with the positive feedback about food quality and service.",,,,Chick-fil-A,"Fast-food chain serving chicken sandwiches, strips & nuggets along with salads & sides.","['Fast food restaurant', 'Breakfast restaurant', 'Caterer', 'Chicken restaurant', 'Delivery service', 'Family restaurant']"
Blackbeard Espresso,Great atmosphere and even better coffee,Valid,"The review describes a genuine experience at the coffee shop, mentioning both atmosphere and coffee quality, which are directly relevant to the business category and name. The 5-star rating is consistent with the positive feedback.",,,,Blackbeard Espresso,,['Coffee shop']
Kroger,Love this store and the employees!,Valid,"The review expresses genuine positive sentiment about the store and employees, which is directly relevant to the grocery store experience. The 4-star rating is consistent with the positive text.",,,,Kroger,"Large supermarket chain with deli & bakery departments, plus health & beauty aids.","['Grocery store', 'Propane supplier']"
Athens Service Center,On the best place to go,Irrelevant,"The review text 'On the best place to go' is very short and vague, and does not relate to car repair/maintenance services. The text appears to be incomplete or muffled, and when combined with the extreme 5-star rating, suggests low relevancy to the automotive service business.",,,,Athens Service Center,,['Car repair and maintenance']
Panera Bread,Ok,Irrelevant,"The review text 'Ok' is extremely short and vague, providing no meaningful information about the cafe experience, food quality, service, or any aspect related to Panera Bread's business categories (cafe, bakery, restaurant services). Despite the 4-star rating, the comment fails to relate to the business description or services offered.",,,,Panera Bread,"Counter-serve bakery/cafe chain serving sandwiches, salads & more, known for its bread & free WiFi.","['Cafe', 'Bakery', 'Breakfast restaurant', 'Caterer', 'Coffee shop', 'Delivery service', 'Takeout Restaurant', 'Salad shop', 'Sandwich shop', 'Soup restaurant']"
H&M,"Experiences at H&M are usually a hit or miss for me. Having worked in retail, I'm aware of how busy one can be, and while I have visited a few flagship stores, this H&M was rather quiet and less intimidating. I was greeted by staff and asked if I needed help. The Men's department was just enough to get some staples, a few other miscellaneous items, and I was satisfied with my purchases. When trying stuff on the fitting room, the attendee Cayla, was very helpful with my sporadic changes in wardrobe. I was rung up by a young blonde lady whose name tag read ""Emily"" who was rather delightful.",Valid,"The review describes a genuine shopping experience at H&M, mentioning specific details about the store layout, staff interactions (Cayla and Emily), fitting room experience, and purchases made. The content is directly relevant to the clothing store and provides helpful information about the service quality.",,,,H&M,"Chain retailer supplying on-trend clothing, swimwear, accessories & shoes.","['Clothing store', ""Children's clothing store"", 'Cosmetics store', ""Men's clothing store"", ""Women's clothing store""]"
Twin Lakes Backcountry Area & Boat Ramp at Land Between the Lakes,Beautiful scenery. Great family experience. Good ol nature.,Valid,"The review describes a genuine outdoor experience at the location, mentioning scenery and family activities which are relevant to a boat ramp and campground area. The 5-star rating is consistent with the positive text about nature and family experience.",,,,Twin Lakes Backcountry Area & Boat Ramp at Land Between the Lakes,,"['Boat ramp', 'Campground']"
Feeders Supply,Friendly staff,Valid,"The review provides a genuine assessment of the staff's friendliness at a pet supply store, and the 4-star rating is consistent with the positive feedback about the service experience.",,,,Feeders Supply,,['Pet supply store']
Lowe's Home Improvement,"(Translated by Google) Ideal for home shopping.

(Original)
Ideal para compras para el hogar.",Valid,"The review provides a genuine assessment of the store as 'ideal for home shopping,' which directly relates to Lowe's business as a home improvement store. The 4-star rating is consistent with the positive sentiment, and the content is relevant to the store's purpose and category.",,,,Lowe's Home Improvement,"Home-improvement chain for appliances, gardening supplies, tools & more (some offer truck rentals).","['Home improvement store', 'Appliance store', 'Building materials supplier', 'Flooring store', 'Furniture store', 'Grill store', 'Hardware store', 'Lawn equipment rental service', 'Outdoor furniture store', 'Rug store']"
State Capitol Overlook,"Lovely VEIW,ABSOLUTELY BEAUTIFUL,!",Valid,"The review describes a genuine experience at a scenic spot, with positive comments about the view and beauty that are directly relevant to the location's category as a scenic overlook.",,,,State Capitol Overlook,,['Scenic spot']
Kroger,Great store,Valid,The review provides a positive assessment of the grocery store with a 5-star rating that matches the positive sentiment. The text 'Great store' is directly relevant to the business (Kroger grocery store) and describes a genuine experience.,,,,Kroger,"Large supermarket chain with deli & bakery departments, plus health & beauty aids.","['Grocery store', 'Propane supplier']"
Panther Creek Park,It was really nice,Valid,"The review expresses a positive experience ('It was really nice') at a park, which is relevant to the location. The 5-star rating is consistent with the positive sentiment, and the comment relates appropriately to visiting a park/tourist attraction.",,,,Panther Creek Park,"Spacious state park with miles of hiking & horseback riding trails, lake fishing & camping.","['Park', 'Tourist attraction']"
La Quinta Inn & Suites by Wyndham Elizabethtown,Always a nice clean stay,Valid,"The review describes a genuine hotel experience with positive feedback about cleanliness, which is directly relevant to the hotel's lodging services. The 5-star rating is consistent with the positive comment.",,,,La Quinta Inn & Suites by Wyndham Elizabethtown,"Casual lodging with an indoor pool, plus free continental breakfast & WiFi.","['Hotel', 'Business center', 'Indoor lodging']"
Mammoth Cave Visitor Center,Great fun for the whole family,Valid,"The review provides a positive assessment of the visitor experience at Mammoth Cave Visitor Center, which is directly relevant to what a visitor center offers. The 5-star rating aligns with the positive sentiment expressed in 'Great fun for the whole family'.",,,,Mammoth Cave Visitor Center,,['Visitor center']
River City Flooring Inc.,The owner is great! We bought our floors in 2015 from River City and they have held up great. We had an issue with our threshold and they came out and fixed with no hassle. I definitely recommend getting floors from River City Flooring as they wont let you down. Family owned and very helpful! Will continue to use them in the future for all our floor needs!,Valid,"The review describes a genuine customer experience with River City Flooring Inc., including specific details about purchasing floors in 2015, their durability, and a positive service experience with threshold repair. The content is directly relevant to the flooring business and matches the business category.",,,,River City Flooring Inc.,,"['Flooring store', 'Carpet installer', 'Carpet store', 'Carpet wholesaler', 'Floor refinishing service', 'Floor sanding and polishing service', 'Flooring contractor', 'Wood and laminate flooring supplier', 'Wood floor installation service', 'Wood floor refinishing service']"
SHREEJI FOOD MART,Have the best coffee,Irrelevant,"The review mentions 'coffee' but the business is categorized as a 'Gas station' with no description available. While some gas stations may serve coffee, the short text lacks context connecting it to the gas station services, making it potentially irrelevant to the primary business category.",,,,SHREEJI FOOD MART,,['Gas station']
Dairy Queen,"I didn't eat anything here because I'm not a DQ fan however, my two adult daughters bought dinner for themselves. My oldest ordered a cheeseburger combo and asked for no tomato or lettuce. She was pleasently surprised that they honored her special order because most food places usually get it wrong or just forget to do it entirely. My youngest daughter ordered the Chicken Strip basket and said that it was perfect. I would recommend to friends and family based on their experiences at this location.",Valid,"The review describes a genuine experience at the Dairy Queen location, detailing specific food orders (cheeseburger combo, chicken strip basket) and service quality. Despite the reviewer not eating personally, they provide relevant feedback about the restaurant's food and service based on their daughters' experiences, which is appropriate for evaluating this fast food establishment.",,,,Dairy Queen,Soft-serve ice cream & signature shakes top the menu at this classic burger & fries fast-food chain.,"['Fast food restaurant', 'Ice cream shop']"
The Home Depot,-- they were great very nice people everybody has smile on your face I always have a good time and service there,Valid,"The review describes a genuine positive experience at The Home Depot, mentioning friendly staff and good service, which is relevant to the home improvement store. The 5-star rating is consistent with the positive feedback.",,,,The Home Depot,"Chain home improvement retailer for tools, appliances & other products (some offer truck rentals).","['Home improvement store', 'Appliance store', 'Bathroom supply store', 'Cabinet store', 'Hardware store', 'Lighting store', 'Paint store', 'Rug store', 'Tool store', 'Window treatment store']"
Joe's Crab Shack,Its permanent ly closed,Valid,"The review provides factual information about the business status (permanently closed) which is relevant to potential customers, even though it's brief and has a 1-star rating.",,,,Joe's Crab Shack,"Informal seafood chain serving crab buckets & stuffed shrimp, plus American comfort dishes.","['Seafood restaurant', 'Family restaurant']"
Sonic Drive-In,This Sonic has steadily gotten worse with service and quality. I sit in the drive thru longer each time I visit.  This trip I received no straws in our bags or when drinks were handed out. Last visit I ordered a small butterfinger blast with extra butterfinger. First spoon full was great. After eating the top half inch there was no butterfinger at all. Place is going to help quick and I'm done. Culver's is next door and I'll just go there.,Valid,"The review describes genuine experiences at the Sonic location, including specific details about service issues (long drive-thru waits, missing straws) and food quality problems (Butterfinger blast lacking ingredients). The 2-star rating aligns with the negative feedback, and the content is directly relevant to the fast-food restaurant.",,,,Sonic Drive-In,"Fast-food burger & fries joint with an old-school feel, including retro drive-in service.","['Fast food restaurant', 'Chicken restaurant', 'Hamburger restaurant', 'Ice cream shop', 'Restaurant']"
Jefferson Mall,Lots of stores with plenty of dining choices,Valid,"The review describes a genuine experience at the shopping mall, mentioning stores and dining options which are relevant to the mall's description and category. The 4-star rating is consistent with the positive but brief assessment.",,,,Jefferson Mall,"Cozy shopping mall since 1978 with department stores & a food court, plus an arcade & bowling alley.","['Shopping mall', 'ATM']"
Half Price Books,One of the best used book stores still in business. They constantly buy and rotate stock.,Valid,"The review describes a genuine experience at the bookstore, praising it as 'one of the best used book stores' and commenting on their business model of buying and rotating stock. The content is directly relevant to the business description and category, and the 5-star rating is consistent with the positive text.",,,,Half Price Books,Family-owned chain that buys & sells secondhand books as well as movies & music in various formats.,"['Book store', 'Music store', 'Toy store']"
Raising Cane's Chicken Fingers,Good food love it,Valid,"The review expresses a genuine positive experience with the food at this chicken restaurant. The 5-star rating is consistent with the positive sentiment 'Good food love it', and the content is directly relevant to the restaurant's food offerings.",,,,Raising Cane's Chicken Fingers,"Fast-food chain specializing in fried chicken fingers, crinkle-cut fries & Texas toast.","['Fast food restaurant', 'American restaurant', 'Chicken restaurant', 'Fried chicken takeaway', 'Takeout Restaurant', 'Southern restaurant (US)']"
Berea College Visitor Center & Shoppe,Nice introduction to area.,Valid,"The review provides a genuine, relevant experience about the visitor center, describing it as a 'nice introduction to area' which directly relates to the purpose of a visitor center. The 5-star rating is consistent with the positive sentiment.",,,,Berea College Visitor Center & Shoppe,,['Visitor center']
Left Bank Coffeehouse,Fun place with a good attitude and friendly staff. Good coffee and scones as well.,Valid,"The review describes a genuine experience at the coffee shop, mentioning specific aspects like staff friendliness, coffee quality, and scones, which are all relevant to the business category and name. The 5-star rating is consistent with the positive feedback.",,,,Left Bank Coffeehouse,,['Coffee shop']
DEP's Fine Wine & Spirits,Nice,Valid,"The review provides a brief but genuine positive assessment ('Nice') of the liquor store with a consistent 5-star rating, indicating a legitimate customer experience.",,,,DEP's Fine Wine & Spirits,,['Liquor store']
Mosbys Towing & Transport LLC,"Driver was empty on Veterans Parkway, but driver cut me off and ran me up on a curb so he could get on I-65.",Valid,"The review describes a specific incident involving a driver from the towing company on Veterans Parkway and I-65. Despite the negative experience and 1-star rating, this appears to be a genuine encounter with the business's service, making it a valid review about the company's driving behavior.",,,,Mosbys Towing & Transport LLC,,['Towing service']
Johnny Carino's,"Hostess team was horrible
Over 10 min wait to get drink orders, 20 min to order food",Valid,"The review describes a genuine dining experience at the restaurant, detailing specific issues with service timing (hostess team, drink orders, food ordering). The 1-star rating is consistent with the negative experience described, and the content is directly relevant to the restaurant's service quality.",,,,Johnny Carino's,Classic Italian chain restaurant serving familiar & modern fare in a family-friendly setting.,['Restaurant']
Wingate by Wyndham Louisville Fair and Expo,Newly remodeled hotel.,Valid,"The review provides a relevant comment about the hotel's recent renovation, which directly relates to the accommodation experience. The 4-star rating is consistent with the positive observation about the property being newly remodeled.",,,,Wingate by Wyndham Louisville Fair and Expo,"No-nonsense rooms & suites in an airport hotel featuring a gym & an outdoor pool, plus free Wi-Fi.","['Hotel', 'Extended stay hotel']"
Seviche A Latin Restaurant,"NEVER a disappointment! Excellent food, excellent service and excellent Raspberry Mojitos 🤤",Valid,"The review describes a genuine dining experience at the Latin American restaurant, praising the food, service, and cocktails (Raspberry Mojitos). The 5-star rating is consistent with the positive text, and the content is directly relevant to the restaurant's offerings.",,,,Seviche A Latin Restaurant,"Modern Latin American menus & craft cocktails served in large, stylish surrounds, plus a patio.","['Latin American restaurant', 'Restaurant']"
Annie’s Café,The food is tasty and the prices are good.,Valid,"The review describes a genuine dining experience with comments about food quality and pricing, which are directly relevant to the restaurant. The 4-star rating is consistent with the positive feedback about taste and value.",,,,Annie’s Café,"A mix of Vietnamese & Chinese fare (including a strictly vegetarian menu) in a simple, cozy setting.","['Vietnamese restaurant', 'Chinese restaurant', 'Noodle shop', 'Restaurant', 'Soup restaurant']"
Frisch's Big Boy,It's Big!,Irrelevant,"The review text 'It's Big!' is extremely short and vague. While it could potentially refer to the restaurant's portions or size, it doesn't clearly relate to the dining experience, food quality, or service at this American restaurant/diner. The text lacks any specific connection to the business description, category, or meaningful dining experience.",,,,Frisch's Big Boy,"Chain restaurant offering burgers & other American standards, plus drive-thru service.","['Diner', 'American restaurant', 'Breakfast restaurant', 'Brunch restaurant']"
Mall St. Matthews,Love this store,Valid,"The review expresses a positive opinion about the shopping mall with a 4-star rating that matches the sentiment. While brief, the text is relevant to the business (referring to it as 'store' which is appropriate for a shopping mall context).",,,,Mall St. Matthews,"Large, light-filled shopping complex with 125+ retailers, restaurants & a movie theater.",['Shopping mall']
Chandler's,The Angus ribeye was awesome. Melt in your mouth. I liked it better than the porterhouse. Everything was good. We'll definitely be back.,Valid,"The review describes a genuine dining experience at an American restaurant, mentioning specific menu items (Angus ribeye, porterhouse) and overall satisfaction. The 5-star rating is consistent with the positive feedback about the food quality and intention to return.",,,,Chandler's,,['American restaurant']
Anderson County Parks & Rec,❤️,Irrelevant,"The review consists only of a heart emoji with no substantive content relating to the park experience, facilities, or services. The 5-star rating with such minimal, vague content does not provide any meaningful information about Anderson County Parks & Rec.",,,,Anderson County Parks & Rec,,"['Park', 'Tourist attraction']"
Texas Roadhouse,one of the best house salads around.,Valid,"The review describes a genuine dining experience at Texas Roadhouse, commenting on their house salad. The content is directly relevant to the restaurant's food offerings, and the 5-star rating is consistent with the positive feedback about the salad.",,,,Texas Roadhouse,Lively chain steakhouse serving American fare with a Southwestern spin amid Texas-themed decor.,"['Steak house', 'American restaurant']"
Lowe's Home Improvement,The store is the typical Lowes but the parking lot was a mess. Trash all over the place. I have ner seen such a mess for a retailers parking lot.,Valid,"The review describes a genuine experience visiting the Lowe's location, commenting on both the store itself and the parking lot condition. The content is directly relevant to the business and provides specific feedback about the location's maintenance.",,,,Lowe's Home Improvement,"Home-improvement chain for appliances, gardening supplies, tools & more (some offer truck rentals).","['Home improvement store', 'Appliance store', 'Building materials supplier', 'Flooring store', 'Furniture store', 'Grill store', 'Hardware store', 'Lawn equipment rental service', 'Outdoor furniture store', 'Rug store']"
Hometown Pizza - Bardstown,Will go back definitely. Would have given a 5 if they would have put a full serving of veggies on the half of the pizza that got the specific topping. They charge full price for extras on half but only use half as much as they would on a whole. Might seem petty but it matters to me.,Valid,"The review describes a genuine dining experience at the pizza restaurant, providing specific feedback about portion sizes and pricing practices. The 4-star rating is consistent with the mixed but constructive criticism, and the content is directly relevant to the pizza restaurant's service and food.",,,,Hometown Pizza - Bardstown,Relaxed Italian chain offering everything from specialty pizzas & pastas to soup & subs.,['Pizza restaurant']
QDOBA Mexican Eats,It's a Qdoba. Food not so fresh and chips a bit stale.,Valid,"The review describes a genuine dining experience at QDOBA, commenting on food freshness and chip quality, which are relevant aspects of a Mexican restaurant. The 3-star rating is consistent with the mixed feedback provided.",,,,QDOBA Mexican Eats,"Mexican chain for counter-serve, custom burritos, tacos & more, including health-oriented options.","['Mexican restaurant', 'Bar & grill', 'Brunch restaurant', 'Caterer', 'Delivery service', 'Fast food restaurant', 'Restaurant', 'Tex-Mex restaurant']"
Little Rick's Neighborhood Bar & Grill,Good Food Very Reasonable prices..always satisfied with what ever we order...,Valid,"The review describes a genuine dining experience at the bar & grill, mentioning food quality and pricing, which are directly relevant to the business category. The 5-star rating is consistent with the positive feedback about being 'always satisfied'.",,,,Little Rick's Neighborhood Bar & Grill,,"['Bar & grill', 'Bar']"
Stella's Kentucky Deli,Good food. Bit pricey.,Valid,"The review provides a genuine assessment of the deli experience, commenting on food quality and pricing, which are relevant aspects for a deli/restaurant. The 4-star rating is consistent with the mixed but generally positive feedback.",,,,Stella's Kentucky Deli,"Locavore-oriented brunch & lunch deli, plus end-of-the-week dinner & cocktails, set in an old house.","['Deli', 'Caterer', 'Restaurant']"
Florence Mall,I hate visiting malls. Went to have a security tag removed from a dress that my wife bought. Turns out that Kenwood Macy's uses different tags than Florence Macy's. Florence has only one tag remover for Florence. It didn't work. Had to return the item and get something different.,Valid,"The review describes a genuine experience at Florence Mall, specifically visiting Macy's to remove a security tag and encountering issues with incompatible tag removal systems. Despite the reviewer's general dislike of malls, they provide specific details about their visit and experience at this location.",,,,Florence Mall,"This chain serves its signature treat, little dots of ice cream, in a variety of flavors.",['Shopping mall']
Walmart Supercenter,Newer & big & busy,Valid,"The review describes genuine characteristics of the Walmart location (newer, big, busy) that are relevant to a department store/supercenter experience. The 5-star rating is consistent with the positive descriptive text.",,,,Walmart Supercenter,,"['Department store', 'Clothing store', 'Craft store', 'Electronics store', 'Furniture store', 'Grocery store', 'Hardware store', 'Home goods store', 'Sporting goods store', 'Toy store']"
Steak 'n Shake,Did order online. Cashier insisted that i did not pay. Needless to say we will not be back.,Valid,"The review describes a genuine experience at the restaurant involving an online order and interaction with cashier staff. The 1-star rating is consistent with the negative experience described, and the content is directly relevant to the restaurant's service.",,,,Steak 'n Shake,Chain known for steakburgers & milkshakes offering a dinerlike space with retro flair.,"['Hamburger restaurant', 'American restaurant', 'Breakfast restaurant']"
Newport Aquarium,This place was great! My kids loved it and I had a great time too!,Valid,The review describes a genuine family experience at the aquarium with positive feedback that is relevant to the location. The 5-star rating is consistent with the positive text about enjoying the visit with kids.,,,,Newport Aquarium,"Aquarium featuring a jellyfish room, walk-through tunnels & exhibits housing penguins, rays & more.","['Aquarium', 'Tourist attraction']"
Shoney's,I went with my sister. We got the buffet and all you can eat steak. Her first one was so full of gristle she was only able to eat maybe a fourth of it if that much. The second was a little better but after a couple of bites it was like the first. My was edible but not really that food. We had a very nu e waitress named Nicole.,Valid,"The review describes a genuine dining experience at Shoney's, mentioning specific details about the buffet, steak quality issues, and service by waitress Nicole. The content is directly relevant to the restaurant and provides honest feedback about the food and service experience.",,,,Shoney's,"Family-oriented chain serving an all-American diner-style menu for breakfast, lunch & dinner.","['American restaurant', 'Breakfast restaurant', 'Family restaurant', 'Hamburger restaurant', 'Restaurant']"
Valu Market Mid City Mall,Great produce section and overall fabulous selection for a small store. I do wish they'd quit shrinking the international section.,Valid,"The review provides a genuine assessment of the grocery store, mentioning specific aspects like the produce section, store selection, and international section. The 4-star rating is consistent with the mixed but generally positive feedback.",,,,Valu Market Mid City Mall,,"['Grocery store', 'Supermarket']"
