business_name,text,predicted_label,prediction_reason,name,description,category
Buckle,Daughter likes to shop there occasionally.,Valid,"The review describes a genuine shopping experience at the clothing store, mentioning that the reviewer's daughter shops there occasionally. The content is relevant to the business (a clothing store) and the 3-star rating is consistent with a neutral shopping experience.",Buckle,"Retail chain stocking stylish casualwear for men & women, including jeans & shoes, plus accessories.","['Clothing store', ""Men's clothing store"", 'Shoe store', 'Watch store', ""Women's clothing store"", 'Youth clothing store']"
Homestead Inn,Great food.  Try the prime rib sandwich. Probably the best coffee for 100 miles in any direction.,Valid,"The review provides a genuine experience about the food and coffee at the Bar & grill, with specific recommendations (prime rib sandwich) and positive feedback that aligns with the 4-star rating.",Homestead Inn,,['Bar & grill']
Garden of Eat-In,Excellent food for cheat day awesome food anyday staff very friendly,Valid,"The review describes a genuine dining experience with positive feedback about the food quality and staff friendliness at the American restaurant, and the 5-star rating is consistent with the positive text.",Garden of Eat-In,,['American restaurant']
McDonald's,"We almost always visit this store when we want McDonalds. Always good service, friendly people, good food and accurate orders.",Valid,"The review describes a genuine dining experience at McDonald's, mentioning specific aspects like service quality, staff friendliness, food quality, and order accuracy. The 5-star rating is consistent with the positive feedback, and the content is highly relevant to the fast-food restaurant.",McDonald's,"Classic, long-running fast-food chain known for its burgers, fries & shakes.","['Fast food restaurant', 'Breakfast restaurant', 'Coffee shop', 'Hamburger restaurant', 'Restaurant', 'Sandwich shop']"
406 Kitchen & Taproom,"Terrific service, inviting patio, Moscow Mules are on point, very tasty menu selection",Valid,"The review describes a genuine dining and drinking experience at the establishment, mentioning specific aspects like service, patio, drinks (Moscow Mules), and menu. The content is directly relevant to a bar/restaurant and the 5-star rating aligns with the positive experience described.",406 Kitchen & Taproom,Industrial-inspired space with a rooftop patio serving an eclectic pub menu & craft draught beers.,"['Bar', 'Restaurant']"
Rendezvous Casino & Burger Grill,"The burgers I get from here are amazing, every time. Added on to that, the waiters are very delightful and the environment is friendly and classy.",Valid,"The review describes a genuine dining experience at the restaurant, mentioning specific aspects like burger quality, service staff, and atmosphere. The 5-star rating is consistent with the positive feedback, and the content directly relates to the business's hamburger restaurant category and description.",Rendezvous Casino & Burger Grill,Build-your-own hamburgers & cocktails offered in an informal eatery with gaming machines.,"['Hamburger restaurant', 'American restaurant']"
Arby's,Best place too eat.not mcdonalds or taco bell,Valid,"The review expresses a genuine positive opinion about the restaurant, comparing it favorably to other fast-food chains. The 5-star rating is consistent with the positive sentiment, and the content is relevant to the fast-food restaurant category.",Arby's,"Fast-food chain, known for its roast beef, serving up hot & cold sandwiches, fries & shakes.","['Fast food restaurant', 'American restaurant', 'Family restaurant', 'Sandwich shop']"
Windbag Saloon & Grill,"Great place for casual lunch or dinner. Old timey atmosphere, wine,.beer,
In old section of Helena along a walking mall with nice sbops. I'd recommend it for a pleasant, casual meal.",Valid,"The review describes a genuine dining experience at the restaurant, mentioning specific details like the atmosphere, food options, location, and providing a recommendation. The 4-star rating is consistent with the positive feedback about the casual dining experience.",Windbag Saloon & Grill,"Set in Helena's last bordello, this pub serves seafood & steak, plus a long list of microbrews.","['Restaurant', 'Bar', 'Brewpub', 'Family restaurant', 'Night club', 'Sports bar']"
PetSmart,Great burger,Irrelevant,"The review text 'Great burger' is completely unrelated to PetSmart, which is a pet supply store offering pet-related services. The review discusses food items that have no connection to the business's pet-focused category and description.",PetSmart,"Chain featuring a range of pets, supplies & food (most offer grooming, boarding & other services).","['Pet supply store', 'Pet adoption service', 'Pet groomer', 'Pet trainer']"
Sapphire Lounge And Casino,Love the bartenders,Valid,"The review is short but directly relevant to the business. It positively comments on the bartenders, which is directly related to the bar service at 'Sapphire Lounge And Casino'. The 5-star rating is consistent with the positive sentiment expressed.",Sapphire Lounge And Casino,,['Bar']
Cricket Wireless Authorized Retailer,Great customer service every time every where,Valid,"The review provides a genuine positive assessment of the customer service at this wireless retailer, which is directly relevant to the business category and services offered.",Cricket Wireless Authorized Retailer,"Wireless provider offering prepaid mobile phones, coverage plans & a range of accessories.",['Cell phone store']
Car Tune Automotive Service and Repair,Mechanic there was awesome cared about my car gave me advice on stuff that I wasn't even there for... They love beating dealer prices and the mechanic work is great,Valid,"The review describes a genuine experience at an auto repair shop, praising the mechanic's service, advice, competitive pricing, and quality of work. The content is directly relevant to the business category and the 5-star rating aligns with the positive feedback.",Car Tune Automotive Service and Repair,,"['Auto repair shop', 'Auto radiator repair service', 'Brake shop', 'Tire shop', 'Transmission shop', 'Wheel alignment service']"
"Holiday Inn Express & Suites Bozeman West, an IHG Hotel","In the morning I sat up and looked down and there were rotten grapes laying on the box spring at the corner of the mattress, right where your hands would be if the sheets had been changed. Being that they were not found by house keeping leads me to believe that that sheets were not changed before I checked in. I won't be staying there again",Valid,"The review describes a genuine experience staying at the hotel, specifically detailing an issue with room cleanliness (rotten grapes found on the box spring). The 2-star rating is consistent with the negative experience described, and the content is directly relevant to the hotel's housekeeping services.","Holiday Inn Express & Suites Bozeman West, an IHG Hotel","Modern hotel offering free Wi-Fi, parking & breakfast, plus an indoor pool & whirlpool tub.","['Hotel', 'Conference center', 'Wedding venue']"
Saigon Garden (by Charlie Wongs),"Great Food, Great Service,",Valid,"The review provides a genuine positive assessment of the restaurant's food and service, which is directly relevant to a Vietnamese restaurant. The 5-star rating aligns with the positive comments about food quality and service.",Saigon Garden (by Charlie Wongs),,['Vietnamese restaurant']
Pizza Ranch,they have some great stuff here can't beat it for the money,Valid,"The review describes a genuine experience at Pizza Ranch, mentioning 'great stuff' and value for money, which is relevant to a buffet restaurant. The 4-star rating is consistent with the positive sentiment expressed in the text.",Pizza Ranch,"Buffet chain offering pizza, fried chicken & classic American sides in an Old West-themed setting.","['Buffet restaurant', 'Chicken restaurant', 'Delivery Restaurant', 'Pizza delivery', 'Pizza restaurant', 'Pizza Takeout', 'Restaurant']"
GameStop,Been coming here for years & I never had a bad experience. Customer service is always good. I think part of it is that there are always long term employees.  Always knowledgable staff. Good selection & good value.  You probably want to pay for a membership to get the most of your experience but its inexpensive.,Valid,"The review describes genuine experiences at GameStop over multiple years, mentions relevant aspects like customer service, staff knowledge, game selection, and membership benefits, all of which are directly related to the video game store business.",GameStop,"Chain retailer offering new & used video games, plus consoles, controllers & related gear.","['Video game store', 'Cell phone store', 'Collectibles store', 'Electronics store']"
Staggering Ox Restaurant - Billings,This place is the AWESOME 👌!!! Love this place . Staff is always supper friendly happy and eager to please. Food has always been delish. I recommend this to everybody.,Valid,"The review describes a genuine dining experience with specific praise for the staff's friendliness and food quality. The 5-star rating aligns with the positive text, and the content is directly relevant to the restaurant.",Staggering Ox Restaurant - Billings,,"['American restaurant', 'Restaurant']"
The Buffalo Bar,Best food in West Yellowstone,Valid,"The review provides a genuine positive assessment of the food quality at The Buffalo Bar, which aligns with the restaurant's description and category as a tavern serving food. The 5-star rating is consistent with the positive text.",The Buffalo Bar,"Homey tavern with rustic, western decor & video slot machines serving burgers, beer & bar bites.","['Restaurant', 'American restaurant', 'Bar & grill', 'Casino', 'Lounge']"
Artistic Barbering,Best barber shop in town. Only place I take my boys to now.,Valid,"The review describes a genuine experience at a barber shop, praising the service and indicating regular patronage. The 5-star rating is consistent with the positive feedback about the barbering service.",Artistic Barbering,,['Barber shop']
Walmart Supercenter,Please...it's Walmart.,Valid,"The review expresses a genuine opinion about Walmart with a neutral 3-star rating. The phrase 'Please...it's Walmart' suggests the reviewer has familiarity with the store and is making a commentary about the typical Walmart experience, which is relevant to this department store location.",Walmart Supercenter,,"['Department store', 'Clothing store', 'Craft store', 'Electronics store', 'Furniture store', 'Grocery store', 'Hardware store', 'Home goods store', 'Sporting goods store', 'Toy store']"
Station 8,"Love, love this place;",Valid,"The review expresses genuine positive sentiment about the location with a 5-star rating that matches the enthusiastic text. While brief, the comment 'Love, love this place' is relevant to the gift shop/antique store business.",Station 8,,"['Gift shop', 'Antique store']"
Rituals Dayspa & Salon,Very relaxing. Fantastic service! I will be going back.,Valid,"The review describes a genuine experience at the day spa with specific feedback about the relaxing atmosphere and service quality. The 5-star rating is consistent with the positive text, and the content is clearly relevant to a day spa/beauty salon business.",Rituals Dayspa & Salon,,"['Day spa', 'Beauty salon', 'Massage', 'Massage therapist']"
Florence Coffee Co.,Amazing service and coffee.. loved it,Valid,"The review describes a genuine experience at the coffee shop, praising both service and coffee quality. The 5-star rating is consistent with the positive text, and the content is directly relevant to the business category (coffee shop).",Florence Coffee Co.,,"['Coffee shop', 'Coffee stand', 'Espresso bar']"
Chalet Market,Not my favorite sandwich! Sorry,Valid,"The review provides a genuine opinion about the sandwiches at this deli/sandwich shop establishment. The 3-star rating and negative comment about the sandwich are directly relevant to the business's core offering as described in both the category (Deli, Sandwich shop) and description (deli sandwiches).",Chalet Market,Family-run standby for deli sandwiches & made-in-Montana merchandise since 1981.,"['Deli', 'Caterer', 'Gift shop', 'Mobile caterer', 'Sandwich shop']"
Exxon,"This particular Exxon and convenient store always has a hard to find package of electronic cigarette cartridges that I stop in for. Fast service, gas, snacks, smokes and you can even relax and play some video keno or video poker in the same unit, while having a beer. A one stop shop.",Valid,"The review describes a genuine experience at the gas station, mentioning specific services and products available (gas, snacks, electronic cigarette cartridges, video games, beer). The content is directly relevant to the business category and the 5-star rating is consistent with the positive experience described.",Exxon,,"['Gas station', 'Car repair and maintenance']"
GameStop,"unfortunately small, but otherwise just like your average Gamestop",Valid,"The review provides a genuine assessment of the GameStop location, commenting on its size and comparing it to other GameStop stores. The 4-star rating is consistent with the mixed but generally positive sentiment, and the content is directly relevant to the video game store business.",GameStop,"Chain retailer offering new & used video games, plus consoles, controllers & related gear.","['Video game store', 'Cell phone store', 'Collectibles store', 'Electronics store']"
Golden Corral Buffet & Grill,Lots of food. Great for kids.,Valid,"The review describes a genuine experience at the buffet restaurant, mentioning 'lots of food' which relates to the buffet concept, and 'great for kids' which aligns with the family-friendly nature described in the business description and category.",Golden Corral Buffet & Grill,"Family-friendly buffet chain featuring all-you-can-eat American fare, plus salad & dessert bars.","['Buffet restaurant', 'American restaurant', 'Banquet hall', 'Breakfast restaurant', 'Down home cooking restaurant', 'Family restaurant', 'Steak house']"
Ninepipes Lodge,Great veiws,Valid,"The review mentions 'Great veiws' which directly relates to the lodge's description highlighting 'mountain or reservoir views'. Despite being brief, the content is relevant to the accommodation experience and the 5-star rating is consistent with the positive comment.",Ninepipes Lodge,Straightforward roadside inn with mountain or reservoir views plus free breakfast & Wi-Fi.,"['Hotel', 'Inn', 'Lodge', 'Motel', 'Resort hotel']"
Beacon Icehouse,"Friendly staff, good ambiance",Valid,"The review provides a genuine assessment of the bar experience, mentioning staff friendliness and ambiance which are relevant aspects of a bar establishment. The 5-star rating is consistent with the positive feedback.",Beacon Icehouse,,['Bar']
McDonald's,"Had breakfast there on 10-5-19.  The scrambled eggs were good., and also the the hash browns.",Valid,"The review describes a genuine dining experience at McDonald's, mentioning specific food items (scrambled eggs and hash browns) that are consistent with the restaurant's breakfast menu and category as a breakfast restaurant. The 5-star rating aligns with the positive feedback about the food quality.",McDonald's,"Classic, long-running fast-food chain known for its burgers, fries & shakes.","['Fast food restaurant', 'Breakfast restaurant', 'Coffee shop', 'Hamburger restaurant', 'Restaurant', 'Sandwich shop']"
Shooters Sports Bar Grill & Casino,The bartenders were great the food's great but the prices were a little bit too high on the food,Valid,"The review describes a genuine experience at the sports bar, mentioning specific aspects like bartenders, food quality, and pricing. The 2-star rating is consistent with the mixed feedback (positive about staff and food quality, negative about pricing).",Shooters Sports Bar Grill & Casino,,"['Sports bar', 'Casino']"
U-Haul Moving & Storage of North Helena,Great service!,Valid,"The review provides a positive assessment of the service quality at this moving and storage business. While brief, 'Great service!' directly relates to the core business operations (moving, storage, truck rental services) and represents a genuine customer experience with appropriate 5-star rating.",U-Haul Moving & Storage of North Helena,,"['Self-storage facility', 'Moving and storage service', 'Moving supply store', 'Packaging supply store', 'Trailer rental service', 'Trailer supply store', 'Truck rental agency', 'Used truck dealer', 'Van rental agency']"
Hub Family Entertainment Center,Fun for the whole family!,Valid,"The review expresses a positive experience ('Fun for the whole family!') that is directly relevant to a family entertainment center, and the 5-star rating is consistent with the positive sentiment.",Hub Family Entertainment Center,,"['Recreation center', 'American restaurant', 'Go-kart track', 'Laser tag center', 'Pizza restaurant', 'Pizza Takeout', 'Video arcade']"
Mint Cafe and Bar,Excellent food in a casual atmosphere,Valid,"The review provides a genuine assessment of the dining experience, commenting on both food quality and atmosphere which are directly relevant to this restaurant/bar establishment. The 5-star rating aligns with the positive feedback about 'excellent food' and 'casual atmosphere'.",Mint Cafe and Bar,"Upscale, circa-1904 steakhouse teaming its cuts with wine, beer & more in contemporary, woody digs.","['Restaurant', 'Bar & grill', 'Cocktail bar', 'Steak house', 'Wine bar']"
Caras Park,Every Thursday is a live band and food trucks. Great place to be,Valid,"The review describes a genuine experience at the park, mentioning specific events (live bands and food trucks on Thursdays) that align well with the park's description as hosting music and cultural events. The 4-star rating is consistent with the positive tone.",Caras Park,This grassy park hosts music & other cultural events throughout the year.,"['Park', 'Tourist attraction']"
Brewhouse,Great food and good beer,Valid,"The review describes a genuine dining and drinking experience at the brewhouse, mentioning both food and beer which directly relate to the bar & grill category and business description. The 5-star rating is consistent with the positive feedback.",Brewhouse,Globally influenced American fare & craft beers served in lively digs with TVs & vintage signs.,['Bar & grill']
Donivan's Family Restaurant,Yum,Irrelevant,"The review text 'Yum' is extremely short and vague, providing no specific information about the restaurant experience, food quality, service, or any aspect related to a family restaurant. Despite the 5-star rating, the content lacks relevance to the business.",Donivan's Family Restaurant,,['Family restaurant']
Copper Furrow Brewing,I do like their Mexican Lager! :-),Valid,"The review describes a genuine experience with a specific beer product (Mexican Lager) at a brewery, with a 5-star rating that matches the positive sentiment expressed.",Copper Furrow Brewing,,['Brewery']
Athenian,If you got a taste for Greek food this is a pretty good one. A local institution has been around for many years Alex the owner is always friendly talk to and the food is real good,Valid,"The review provides a genuine experience about the Greek restaurant, mentioning the food quality, the owner Alex's friendliness, and the restaurant's long-standing presence in the community. The 4-star rating is consistent with the positive but measured tone of the review.",Athenian,"Quaint, warmly painted dining room serving traditional Greek entrees & pita sandwiches.",['Greek restaurant']
R-B Drive-In,Excellent and fast!,Valid,"The review provides a genuine, positive assessment of the restaurant with 'Excellent and fast!' which is relevant to dining experience. The 5-star rating is consistent with the positive text, and the content relates appropriately to the restaurant category.",R-B Drive-In,,['Restaurant']
Outpost Restaurant,Closed until April 2020,Valid,"The review provides factual information about the restaurant's operational status, which is relevant to potential visitors planning to dine there.",Outpost Restaurant,"Mall eatery, decorated with Western bric-a-brac, that offers homestyle fare & a salad bar.","['American restaurant', 'Restaurant']"
The Symes Hot Springs Hotel & Mineral Baths,It was very relaxing!,Valid,"The review describes a genuine experience at the hot springs hotel, with 'very relaxing' being directly relevant to the spa and hot springs services offered. The 4-star rating is consistent with the positive feedback.",The Symes Hot Springs Hotel & Mineral Baths,"Down-to-earth hotel featuring a spa & hot springs pools, plus a restaurant & an espresso bar.","['Resort hotel', 'Hotel']"
City Motor Company,Everyone at City Motors did a great job. Tamie Okes was amazing. She answered all my questions and found me the truck I wanted. Very happy!,Valid,"The review describes a genuine car purchasing experience at the dealership, mentioning specific staff member (Tamie Okes), the service received, and the successful purchase of a truck. The 5-star rating aligns with the positive feedback about the experience and service quality.",City Motor Company,,"['Chevrolet dealer', 'Cadillac dealer', 'Car dealer', 'Car finance and loan company', 'Truck dealer', 'Used car dealer', 'Used truck dealer']"
Nova Urgent Care - Bozeman,"Thanks for getting me and my mother-in-law taken care of. Everyone there both visits worked very hard to successfully provide excellent care quickly. The accurate and quick diagnosis, friendly and understanding staff, clean facility and professionalism showed by everyone there has convinced me to change where I go when I need Urgent Care. Our whole family really appreciates the entire staff at Zip Clinic and the hard work they put in every day as medical professionals. Thanks!!!",Valid,"The review describes a genuine healthcare experience at the urgent care facility, praising specific aspects like diagnosis, staff, cleanliness, and professionalism. The 5-star rating is consistent with the positive detailed feedback about medical services received.",Nova Urgent Care - Bozeman,,"['Urgent care center', 'Doctor']"
Elkhorn Diner Dining Facility,IT IS BETTER & BIG PLACE WITH MORE FOODS TO CHOICE FROM !,Valid,"The review describes a genuine dining experience at the cafeteria, commenting on the size of the place and food variety, which is relevant to the business category 'Cafeteria'. The 4-star rating is consistent with the positive text.",Elkhorn Diner Dining Facility,,['Cafeteria']
Safeway,Oj,Irrelevant,"The review text 'Oj' is extremely short and does not relate to the grocery store business. The text appears to be either a typo or unrelated content that has no connection to Safeway's services, products, or customer experience.",Safeway,"Longtime supermarket chain carrying brand-name & house-label groceries, plus a deli, bakery & more.",['Grocery store']
"MacKenzie River Pizza, Grill & Pub",Atmosphere and menu are decent. Service not as good.,Valid,"The review provides a genuine assessment of the restaurant experience, commenting on atmosphere, menu, and service quality. The 3-star rating is consistent with the mixed feedback (positive on atmosphere/menu, negative on service), and the content directly relates to the pizzeria/restaurant business.","MacKenzie River Pizza, Grill & Pub","Pizzeria chain serving creative pies, sandwiches, beer & wine in a casual, rustic setting.",['American restaurant']
McDonald's,Always kid friendly. Fastpass friendly clean environment.,Valid,"The review describes a genuine experience at McDonald's, mentioning relevant aspects like being kid-friendly, fast service, and clean environment, which are all appropriate for a fast-food restaurant. The 5-star rating is consistent with the positive text.",McDonald's,"Classic, long-running fast-food chain known for its burgers, fries & shakes.","['Fast food restaurant', 'Breakfast restaurant', 'Coffee shop', 'Hamburger restaurant', 'Restaurant', 'Sandwich shop']"
Motel 6 Helena,Okay  carpets are old and stained. The traffic noise was bad as the train horns  .. The heater was so loud It woke us up every time it came on. This was our 15th wedding anniversary. Everything was Great!! Except for the loud and unclean Motel 6 ! Never again. Drug activity  Ugh Had a candy bar stolen from our room  Told housekeeping to stay out...  The bed was made  towels replaced . That was is it...,Valid,"The review describes a genuine stay experience at the motel, detailing specific issues like old carpets, traffic noise, heater problems, cleanliness concerns, and theft. Despite the negative 1-star rating, the content is directly relevant to the lodging experience and provides detailed feedback about the motel's conditions and services.",Motel 6 Helena,"Straightforward budget lodging with an outdoor heated pool, plus free truck parking.","['Motel', 'Hotel']"
Mongolian BBQ,Love the food flavors very good just to expensive.,Valid,"The review provides a genuine experience about the restaurant, commenting on food flavors (positive) and pricing (negative concern). The 3-star rating is consistent with mixed feedback, and the content is directly relevant to the Mongolian BBQ restaurant.",Mongolian BBQ,Modest strip-mall restaurant offering meats & veggies for build-your-own Mongolian BBQ meals.,"['Mongolian barbecue restaurant', 'Chinese restaurant', 'Pho restaurant', 'Vietnamese restaurant']"
Subway,"Full sandwiches
customer.service 6-10.
Would have been alit more enjoyable",Valid,"The review discusses sandwiches and customer service, which are directly relevant to Subway as a sandwich shop. Despite the brief and somewhat unclear writing style, the reviewer is sharing their genuine experience about the food and service quality at this location.",Subway,"Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.",['Sandwich shop']
Northwest Parts & Equipment,Always helpful and good people !,Valid,"The review provides a genuine positive experience about the business, praising the helpfulness of the staff. The 5-star rating is consistent with the positive sentiment, and the content is relevant to an equipment rental/supplier business where customer service is important.",Northwest Parts & Equipment,,['Equipment rental agency']
Stuffed Crepes & Waffles,So good!,Valid,"The review expresses a positive experience with 'So good!' which is relevant to a breakfast restaurant, and the 5-star rating is consistent with the positive sentiment. Though brief, the comment directly relates to the food quality at this dining establishment.",Stuffed Crepes & Waffles,,['Breakfast restaurant']
Grub Stake,"Great food, big place but still able to hear people in your party.  Friendly staff",Valid,"The review describes a genuine dining experience at the American restaurant, mentioning specific aspects like food quality, atmosphere, and staff service. The 5-star rating is consistent with the positive feedback.",Grub Stake,,['American restaurant']
MissoulaMaze,"(Translated by Google) aMAZEing

(Original)
aMAZEing",Valid,"The review contains a positive play on words 'aMAZEing' which directly relates to the business name 'MissoulaMaze', and the 5-star rating is consistent with the positive sentiment expressed.",MissoulaMaze,,"['Festival', 'Event venue']"
Clear Choice Auto Glass,Fast and best deal in town. Mike and Ken did a great job on both my cars we had done.,Valid,"The review describes a genuine experience with the auto glass service, mentioning specific staff members (Mike and Ken) and that work was done on multiple cars. The 5-star rating is consistent with the positive feedback about fast service and good pricing.",Clear Choice Auto Glass,,['Auto glass shop']
Canyon Creek Brewing,Great brewery. Best deck at a brewery. Usually food trucks there.,Valid,"The review provides a genuine experience about the brewery, mentioning specific aspects like the deck and food trucks, with a 5-star rating that matches the positive sentiment.",Canyon Creek Brewing,,['Brewery']
Norm's Soda Fountain,"The high school/college/ adults who work there are always pleasant, and quick to serve their patrons! They are energetic and, can answer most questions from tourists!",Valid,"The review describes a genuine experience at the soda fountain, praising the staff's service quality and friendliness. The content is directly relevant to the business (a diner/soda shop) and the 5-star rating aligns with the positive feedback about staff performance.",Norm's Soda Fountain,"Old-school diner & soda shop with a menu of American favorites like hot dogs, plus ice cream treats.","['Hamburger restaurant', 'American restaurant', 'Candy store', 'Coffee shop', 'Dessert restaurant', 'Dessert shop', 'Family restaurant', 'Ice cream shop', 'Restaurant']"
Woods Bay Grill,"Great breakfast, super hashbrowns",Valid,"The review describes a genuine dining experience at the restaurant, mentioning specific food items (breakfast, hashbrowns) that are relevant to the business category (Restaurant, American restaurant, Diner). The 5-star rating is consistent with the positive feedback.",Woods Bay Grill,,"['Restaurant', 'American restaurant', 'Diner']"
Gallatin Valley Botanical at Rocky Creek Farm,Great small farm to pick your own or just get some really fresh produce.,Valid,"The review describes a genuine experience at a farm, mentioning picking produce and fresh produce, which directly relates to the business category 'Farm' and provides helpful information about the location.",Gallatin Valley Botanical at Rocky Creek Farm,,['Farm']
"Toys""R""Us",Place is a dump,Valid,"The review expresses a genuine negative opinion about the physical condition of the toy store location. The 1-star rating is consistent with the negative sentiment, and the comment relates directly to the business premises.","Toys""R""Us",,"['Toy store', 'Doll store', 'Game store', 'Video game store']"
Walmart Supercenter,Low prices,Valid,"The review text 'Low prices' is directly relevant to Walmart's business model as a discount store/department store, and the 5-star rating is consistent with this positive assessment of their pricing.",Walmart Supercenter,,"['Department store', 'Clothing store', 'Craft store', 'Electronics store', 'Furniture store', 'Grocery store', 'Hardware store', 'Home goods store', 'Sporting goods store', 'Toy store']"
Sorensen-Intermountain Veterinary Hospital,Fantastic large animal vet,Valid,"The review provides a genuine assessment of the veterinary hospital, specifically praising it as a 'Fantastic large animal vet' which directly relates to the business category 'Veterinarian' and the 5-star rating is consistent with the positive feedback.",Sorensen-Intermountain Veterinary Hospital,,['Veterinarian']
Giant Springs State Park,So beautiful!,Valid,"The review expresses a positive sentiment about the natural beauty of the state park, which is directly relevant to the location's description as a scenic park with springs and trails. The 5-star rating aligns with the enthusiastic comment.",Giant Springs State Park,"Home to the world's largest freshwater spring & the Rainbow Dam, this park offers 2 miles of trails.","['State park', 'Fishing pier', 'Park', 'Tourist attraction']"
BJ'S Restaurant,Goodfoid,Irrelevant,"The review text 'Goodfoid' appears to be a typo or gibberish and does not relate to the restaurant's food, service, or experience. The text is too short and unclear to provide any meaningful feedback about this American restaurant/diner.",BJ'S Restaurant,Family-friendly chain outpost pairs familiar pub fare with an extensive list of house brews.,"['Pizza restaurant', 'American restaurant', 'Diner']"
Public Assistance,Very nice people with good attitudes. Very helpful and kind.,Valid,"The review describes a genuine experience with the social services organization, praising the staff's helpfulness and attitudes, which is directly relevant to the business category and services provided.",Public Assistance,,['Social services organization']
Quality Inn Big Sky,Didn't stay but the parking lot was real nice,Rant_Without_Visit,"The reviewer explicitly states 'Didn't stay' indicating they never actually used the hotel services, yet still provided a 3-star rating based solely on observing the parking lot, which doesn't constitute a genuine hotel experience.",Quality Inn Big Sky,"Simple hotel with an outdoor pool & a gym, plus free breakfast, RV parking & WiFi.",['Hotel']
Zootown Brew,Waffles are awesome and coffee too. There are free WiFi,Valid,"The review describes genuine experiences with the coffee shop's offerings (waffles, coffee, WiFi) that align with the business description and category. The 5-star rating is consistent with the positive feedback about the food and amenities.",Zootown Brew,"Hip coffeehouse with elevated espresso drinks & pastries, plus free Wi-Fi & occasional live music.",['Coffee shop']
Pizza Ranch,"Average food, but a buffet.",Valid,"The review provides a genuine assessment of the dining experience, mentioning both the food quality ('Average food') and the buffet format, which directly relates to the business description as a buffet chain restaurant.",Pizza Ranch,"Buffet chain offering pizza, fried chicken & classic American sides in an Old West-themed setting.","['Buffet restaurant', 'Chicken restaurant', 'Delivery Restaurant', 'Pizza delivery', 'Pizza restaurant', 'Pizza Takeout', 'Restaurant']"
Gallatin Valley Mall,Pleasure  shopping at the mall,Valid,"The review describes a genuine shopping experience at the mall with a positive sentiment ('Pleasure shopping'), and the 5-star rating is consistent with the positive text. The content is directly relevant to the business as a shopping mall.",Gallatin Valley Mall,"Modest, long-standing indoor shopping complex with a movie theater & casual dining options.","['Shopping mall', 'Department store', 'Gift shop', ""Men's clothing store"", 'Restaurant', 'Shoe store', ""Women's clothing store""]"
Giant Springs State Park,Absolutely beautiful! Well maintained and park staff is eager and willing to help.,Valid,"The review describes a genuine experience at the state park, praising its beauty, maintenance, and helpful staff. The 5-star rating is consistent with the positive feedback, and the content is directly relevant to visiting a state park.",Giant Springs State Park,"Home to the world's largest freshwater spring & the Rainbow Dam, this park offers 2 miles of trails.","['State park', 'Fishing pier', 'Park', 'Tourist attraction']"
Domino's Pizza,"It's Domino's, reliable,  busy and doing great considering they are so busy and seam to always need more help. No reason to not give them a solid 4 stars.",Valid,"The review provides a genuine assessment of the Domino's Pizza location, discussing service quality, staffing challenges, and overall experience. The 4-star rating aligns with the balanced positive feedback about reliability despite being busy.",Domino's Pizza,Delivery/carryout chain offering a wide range of pizzas & a variety of other dishes & sides.,"['Pizza delivery', 'Delivery Restaurant', 'Takeout Restaurant', 'Pizza restaurant', 'Pizza Takeout']"
"Iron Horse Towing, Inc.",Good people,Valid,"The review provides a brief but genuine assessment of the business with 'Good people', which is relevant to a towing service where customer interaction and trustworthiness are important factors. The 5-star rating is consistent with the positive comment.","Iron Horse Towing, Inc.",,"['Towing service', 'Auto repair shop', 'Truck repair shop']"
Glacier Express Car Wash,Great place to get your ride all cleaned up...,Valid,"The review describes a genuine experience at a car wash service. The text 'Great place to get your ride all cleaned up' is directly relevant to the car wash category and business name, and the 5-star rating is consistent with the positive feedback.",Glacier Express Car Wash,,['Car wash']
Conoco,Fast,Valid,"The review describes a positive experience at a gas station, where 'Fast' is a relevant attribute for fuel service quality, and the 5-star rating is consistent with the positive assessment.",Conoco,,['Gas station']
The Club Tavern & Grill,"Overall good, plus they have drink specials almost every night",Valid,"The review describes a genuine experience at the bar & grill, mentioning drink specials which is relevant to a bar/restaurant establishment. The 4-star rating is consistent with the positive 'overall good' comment.",The Club Tavern & Grill,"Comfortable hotel restaurant & bar with a large pub-grub menu, microbrews on tap & sports on TV.","['Bar & grill', 'Bar', 'Breakfast restaurant', 'Casino', 'Family restaurant', 'Restaurant', 'Sports bar']"
Pizza Hut,"Great pizza, friendly staff, really busy so I call in for pick up ahead of time.",Valid,"The review describes a genuine dining experience at Pizza Hut, mentioning specific aspects like pizza quality, staff friendliness, and pickup strategy. The 5-star rating is consistent with the positive feedback, and the content is clearly relevant to the pizza restaurant.",Pizza Hut,Family-friendly chain known for its made-to-order pizzas.,"['Pizza delivery', 'Chicken wings restaurant', 'Takeout Restaurant', 'Pizza restaurant']"
Chipotle Mexican Grill,"Good food,fast",Valid,"The review describes a genuine dining experience at Chipotle, commenting on both food quality ('Good food') and service speed ('fast'), which directly relates to the fast-food Mexican restaurant's offerings. The 4-star rating is consistent with the positive but brief feedback.",Chipotle Mexican Grill,"Fast-food chain offering Mexican fare, including design-your-own burritos, tacos & bowls.","['Mexican restaurant', 'Caterer', 'Fast food restaurant']"
